wavelength,"(743, 898)","(745, 886)","(749, 881)","(755, 879)","(750, 877)","(746, 920)","(758, 915)","(743, 908)","(744, 931)","(747, 926)"
702.045,0.736284,0.774008,0.860889,0.770045,0.844028,0.752109,0.859306,0.728045,0.8647,0.732534
703.672,0.729514,0.772565,0.87822,0.778617,0.856166,0.761394,0.865691,0.727851,0.872158,0.739043
705.298,0.740876,0.769813,0.868848,0.762649,0.866427,0.770457,0.855574,0.730841,0.881581,0.739546
706.925,0.742779,0.767208,0.887173,0.774771,0.869323,0.772728,0.850249,0.749205,0.876258,0.746654
708.552,0.744287,0.785341,0.878888,0.781534,0.855717,0.773641,0.851436,0.733274,0.876464,0.744108
710.178,0.74312,0.794843,0.869466,0.778125,0.862771,0.779703,0.861013,0.735676,0.881182,0.747784
711.805,0.744977,0.795114,0.882758,0.778303,0.861483,0.780334,0.877567,0.750897,0.878133,0.741675
713.432,0.74814,0.796897,0.883709,0.791781,0.86115,0.78467,0.859682,0.745359,0.878319,0.758499
715.059,0.751755,0.799174,0.886322,0.787719,0.875971,0.778938,0.872604,0.750404,0.892429,0.750801
716.685,0.771056,0.797376,0.877728,0.799685,0.866192,0.784233,0.87397,0.756371,0.895203,0.75073
718.312,0.764422,0.799647,0.902972,0.794621,0.878544,0.783398,0.876487,0.775941,0.888303,0.757998
719.939,0.760632,0.804635,0.878906,0.788378,0.875508,0.78651,0.885354,0.757369,0.902846,0.758172
721.566,0.760122,0.808407,0.878416,0.803892,0.872672,0.796646,0.875122,0.761612,0.891573,0.761685
723.192,0.770043,0.811567,0.88931,0.792742,0.888269,0.80504,0.864615,0.761135,0.900365,0.763298
724.819,0.772229,0.814456,0.901117,0.804701,0.895176,0.797237,0.887801,0.765167,0.90503,0.765121
726.446,0.775443,0.82122,0.894571,0.812098,0.883139,0.81699,0.89632,0.779731,0.912705,0.765374
728.073,0.79385,0.819116,0.910021,0.811824,0.893782,0.817713,0.889198,0.765969,0.920859,0.775085
729.699,0.79157,0.820215,0.89446,0.815601,0.889396,0.822974,0.895663,0.781118,0.925452,0.777066
731.326,0.785955,0.833194,0.900858,0.801558,0.894607,0.814292,0.897753,0.782079,0.928545,0.784606
732.953,0.799542,0.830021,0.911017,0.834271,0.887195,0.815658,0.883599,0.777872,0.934601,0.78217
734.58,0.789354,0.851418,0.912535,0.819837,0.90595,0.824922,0.90228,0.788227,0.925974,0.783666
736.206,0.79388,0.842757,0.917208,0.818751,0.89458,0.820391,0.887351,0.783635,0.930598,0.792721
737.833,0.795815,0.834726,0.910544,0.814361,0.888425,0.838354,0.880902,0.793715,0.935049,0.788159
739.46,0.796776,0.834289,0.9244,0.819709,0.904486,0.830161,0.88844,0.790586,0.93196,0.793023
741.087,0.796954,0.847329,0.925639,0.816786,0.909764,0.832728,0.90284,0.789506,0.933092,0.787715
742.713,0.80691,0.841168,0.932221,0.820989,0.90851,0.840749,0.895563,0.793484,0.957706,0.792318
744.34,0.804896,0.839518,0.929525,0.82228,0.905181,0.828596,0.902694,0.812377,0.960754,0.803653
745.967,0.807354,0.860251,0.919125,0.828071,0.900951,0.8424,0.893903,0.801871,0.940177,0.817209
747.593,0.817289,0.846669,0.923471,0.825325,0.921823,0.838065,0.903602,0.791655,0.956952,0.800546
749.22,0.815048,0.843334,0.930374,0.838615,0.9224,0.843857,0.890334,0.813311,0.960416,0.81191
750.847,0.804524,0.855304,0.931887,0.833616,0.927199,0.845546,0.891571,0.79821,0.960337,0.797895
752.474,0.825609,0.853901,0.93703,0.847859,0.928363,0.849419,0.898189,0.801004,0.960339,0.810729
754.1,0.81474,0.855824,0.945251,0.848811,0.921462,0.864445,0.904954,0.813582,0.963793,0.79774
755.727,0.820313,0.868072,0.944106,0.849943,0.930914,0.854233,0.910083,0.810613,0.962963,0.797971
757.354,0.826493,0.849455,0.95318,0.85349,0.9336,0.859098,0.915795,0.816102,0.973024,0.814297
758.981,0.833653,0.876961,0.951958,0.866568,0.932178,0.871211,0.939497,0.829973,0.972347,0.82163
760.607,0.831333,0.89322,0.954755,0.858219,0.938945,0.878912,0.919149,0.834448,0.987161,0.836257
762.234,0.847089,0.880112,0.96305,0.878355,0.944301,0.872213,0.930125,0.825296,0.985041,0.825197
763.861,0.844028,0.887639,0.965547,0.862029,0.943014,0.896118,0.937385,0.843721,0.989088,0.851676
765.488,0.856084,0.886165,0.985523,0.863369,0.962766,0.881241,0.954533,0.837348,1.00392,0.848042
767.114,0.843356,0.886226,0.984493,0.863786,0.963903,0.883861,0.956941,0.849489,0.984753,0.8491
768.741,0.845887,0.897662,0.981928,0.879294,0.951846,0.892683,0.962943,0.84204,1.00729,0.843563
770.368,0.848279,0.897064,0.975171,0.879603,0.956455,0.895957,0.970418,0.837861,1.00319,0.850856
771.995,0.832671,0.891367,0.993397,0.892363,0.964414,0.903829,0.956779,0.844836,0.994853,0.836532
773.621,0.84085,0.917765,0.989106,0.901351,0.971413,0.90405,0.976326,0.857478,1.01381,0.870112
775.248,0.855109,0.902864,0.991391,0.896247,0.976681,0.904163,0.969968,0.863555,1.00875,0.866063
776.875,0.865651,0.914734,1.00434,0.901376,0.985524,0.909939,0.970142,0.853257,1.00458,0.864955
778.502,0.871451,0.915611,1.00216,0.902615,0.980686,0.911965,0.980411,0.856387,1.00492,0.859574
780.128,0.864123,0.928618,1.01331,0.883904,1.00216,0.898435,0.984771,0.864533,0.992565,0.871121
